doctor_id,first_name,last_name,specialization,department_id,qualification,hire_date,status,phone
129,Susan,Taylor,Cardio,15,MBBS,2024-08-17,Active,+18291727544
130,Joseph,Smith,General,17,MBBS+MD,2009-07-14,Inactive,+13109225346
131,Donald,Williams,Pediatric,15,FRCS,2002-03-03,Active,+14816455706
132,Thomas,Martinez,Emergency,13,FRCS,2019-10-14,Active,+19182919549
133,Sandra,Miller,Emergency,18,MBBS+MD,2023-04-14,Active,+16647689582
134,Patricia,Hernandez,Emergency,14,PhD,2023-11-09,Active,+13568956894
135,Anthony,Williams,General,3,MBBS+MD,2002-02-24,Inactive,+15813182975
136,Charles,Moore,Cardio,18,PhD,2001-11-04,Active,+15628095702
137,Nancy,Martinez,Pediatric,2,MBBS,2009-10-17,Active,+13589089795
138,Susan,Moore,Pediatric,8,MBBS,2003-05-19,Active,+16391440466
139,Anthony,Rodriguez,General,20,MD,2021-05-23,Active,+15476889195
140,Sandra,Jones,Cardio,1,MBBS+MD,2005-02-05,Inactive,+18481514340
141,Thomas,Miller,Emergency,3,MBBS+MD,2023-08-11,Active,+15786228407
142,Charles,Martin,General,11,MBBS,2024-03-06,On Leave,+12502368710
143,Lisa,Wilson,Emergency,9,FRCS,2014-08-14,Active,+14209595744
144,Jessica,Brown,Pediatric,4,FRCS,2011-08-17,Inactive,+15151761976
145,Nancy,Johnson,General,8,MD,2012-05-07,Active,+19825286905
146,Patricia,Smith,Emergency,10,MBBS+MD,2010-03-05,Active,+17454860617
147,Anthony,Lopez,General,17,MBBS+MD,2017-12-02,Active,+12198713396
148,Charles,Wilson,Cardio,3,MBBS+MD,2010-12-21,Active,+14962932288
149,David,Garcia,Ortho,13,FRCS,2000-08-27,Inactive,+15702478574
150,Linda,Wilson,Cardio,14,MBBS+MD,2003-09-03,Active,+15176696087
151,Matthew,Garcia,General,8,FRCS,2010-11-04,On Leave,+17224253164
152,Betty,Jones,Surgical,12,MBBS,2011-03-09,Active,+13773564729
153,Matthew,Thomas,Emergency,3,FRCS,2005-10-15,Inactive,+17786422534
154,Joseph,Williams,Emergency,11,MBBS+MD,2004-11-10,Active,+18051942411
155,John,Martinez,Emergency,12,MBBS+MD,2016-01-02,Active,+14932287332
156,Nancy,Taylor,Emergency,3,MBBS+MD,2019-10-18,Inactive,+12428545279
157,Michael,Hernandez,Cardio,19,MBBS+MD,2020-09-05,Active,+16612736473
158,John,Taylor,Neuro,11,MD,2022-01-08,Inactive,+16488372274
159,Nancy,Garcia,Pediatric,17,PhD,2016-05-13,Active,+19936676858
160,Margaret,Hernandez,General,20,PhD,2001-02-18,Inactive,+15955767195
161,Sandra,Martin,Ortho,9,MD,2023-06-03,On Leave,+18793372774
162,Christopher,Gonzalez,Surgical,12,FRCS,2009-12-03,Active,+17727319630
163,Lisa,Taylor,General,11,MBBS+MD,2004-09-12,Active,+15716181912
164,David,Thomas,Surgical,6,MD,2006-03-05,Active,+15022696860
165,Karen,Taylor,General,17,PhD,2024-10-05,On Leave,+15853587931
166,Anthony,Martin,Ortho,6,MD,2005-12-15,Active,+16207111929
167,Nancy,Martinez,Ortho,8,MBBS+MD,2014-04-18,Active,+15168868776
168,Lisa,Jackson,Emergency,7,MBBS+MD,2011-05-25,Active,+17149849306
169,Anthony,Miller,Ortho,14,FRCS,2005-03-28,Active,+12539062973
170,Ashley,Brown,Neuro,12,FRCS,2017-02-10,Active,+19813689594
171,Donald,Taylor,Surgical,9,MBBS+MD,2014-02-08,Active,+15571447451
172,Richard,Taylor,Pediatric,14,MD,2001-07-03,Active,+14291472908
173,Anthony,Hernandez,Ortho,11,MD,2003-03-02,Active,+16833328554
174,Nancy,Smith,General,16,MBBS,2014-05-07,Active,+17619854536
175,Matthew,Martinez,Surgical,14,PhD,2003-02-02,Active,+16298669093
176,Anthony,Thomas,Cardio,3,FRCS,2003-01-21,On Leave,+17885059048
177,Jessica,Smith,Cardio,5,PhD,2009-04-19,Active,+13912436363
178,John,Taylor,Cardio,17,FRCS,2011-09-18,Active,+15998887557
179,Richard,Lopez,Pediatric,2,MBBS,2020-06-26,Active,+15535045421
180,Charles,Hernandez,Surgical,4,MBBS,2024-06-18,Active,+18583937508
181,Sarah,Garcia,Ortho,15,MD,2022-02-23,Active,+12375923149
182,Margaret,Miller,General,7,PhD,2001-05-17,Active,+17568942330
183,Matthew,Miller,Pediatric,9,PhD,2001-01-28,Inactive,+15395583814
184,Susan,Wilson,Emergency,4,MBBS+MD,2025-07-11,Active,+17089347057
185,Thomas,Rodriguez,Ortho,12,MBBS,2025-12-14,Active,+16404027557
186,David,Brown,General,18,PhD,2009-11-10,Active,+16568149041
187,Joseph,Lopez,Emergency,6,MBBS,2022-12-28,Active,+18298297090
188,Margaret,Johnson,General,9,MBBS+MD,2020-06-17,Inactive,+18953684131
189,Sandra,Martin,Neuro,1,MBBS+MD,2004-01-05,Active,+14417145971
190,Charles,Johnson,Cardio,12,MD,2012-11-15,Active,+15808448065
191,Robert,Taylor,Pediatric,3,MBBS+MD,2018-06-21,Active,+14552903351
192,Jennifer,Thomas,Cardio,1,MBBS+MD,2023-09-04,Active,+19935366937
193,Nancy,Martinez,Neuro,15,MBBS+MD,2006-04-04,Active,+12758584017
194,Joseph,Williams,Ortho,6,PhD,2022-11-12,Inactive,+12665871470
195,Daniel,Garcia,Ortho,10,PhD,2005-09-08,Active,+14053329967
196,Sarah,Smith,Pediatric,8,FRCS,2025-10-12,Active,+17643177199
197,John,Martinez,Emergency,20,MBBS+MD,2002-09-14,Active,+17882237331
198,Christopher,Williams,Emergency,5,MBBS+MD,2010-11-17,Active,+13314052834
199,Thomas,Johnson,Ortho,5,MBBS,2013-09-05,Active,+13683717354
200,Linda,Lopez,Cardio,11,PhD,2022-02-09,Active,+18505604524
